Animal ID,Intake Type,In Date,Pet name,Animal Type,Pet Age,Pet Size,Color,Breed,Sex,URL Link ,Crossing
A440061,OWNER SUR,07/09/2018,JR,DOG,1 YEAR 7 MONTHS,MED,WHITE / BRINDLE,TR WALKER HOUND,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A440061&location=MONT,
A440724,OWNER SUR,07/23/2018,*TRUEY,CAT,4 MONTHS,KITTE,GRAY TAB,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A440724&location=MONT,
A434081,RETURN,03/17/2018,BENTLEY,DOG,1 YEAR 7 MONTHS,LARGE,BLACK / WHITE,AM PIT BULL TER / GERM SHEPHERD,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A434081&location=MONT,
A439180,STRAY,06/18/2018,HONEY,DOG,1 YEAR 8 MONTHS,SMALL,BLACK,AM PIT BULL TER,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A439180&location=MONT,"16200 FREDERICK RD, GAITHERSBURG MD 20877"
A440981,OWNER SUR,07/28/2018,CALI,OTHER,1 YEAR 1 MONTH,SMALL,TRI/BROWN,GUINEA PIG,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A440981&location=MONT,
A437777,OWNER SUR,05/14/2018,EASTER,OTHER,11 MONTHS,SMALL,SABLE,FERRET,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A437777&location=MONT,
A438938,OWNER SUR,06/12/2018,DRE,DOG,10 MONTHS,MED,BRINDLE,BOXER / GERM SHEPHERD,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A438938&location=MONT,
A437314,STRAY,04/30/2018,*PAYLA,CAT,1 YEAR 3 MONTHS,SMALL,BRN TABBY,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A437314&location=MONT,"1100 JACKSON RD, SILVER SPRING MD 20904"
A438312,OWNER SUR,05/27/2018,BAXTER,CAT,1 YEAR 3 MONTHS,LARGE,BRN TABBY,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A438312&location=MONT,
A439583,RETURN,07/13/2018,*TUK,DOG,1 YEAR 2 MONTHS,LARGE,BLACK / WHITE,ALASKAN HUSKY / GERM SHEPHERD,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A439583&location=MONT,
A440055,OWNER SUR,07/09/2018,FRED,BIRD,9 MONTHS,LARGE,WHITE / TAN,CHICKEN,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A440055&location=MONT,
A439847,STRAY,07/04/2018,*GOBSTOPPER,OTHER,1 YEAR 1 MONTH,SMALL,GRAY / WHITE,HAMSTER,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A439847&location=MONT,"12100 VILLAGE SQUARE TER, ROCKVILLE MD 20852"
A440226,OWNER SUR,07/13/2018,*OLIVIA,CAT,1 YEAR 7 MONTHS,SMALL,BLACK,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A440226&location=MONT,
A440533,STRAY,07/18/2018,*PEETA,OTHER,1 YEAR 1 MONTH,SMALL,BROWN,RABBIT SH,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A440533&location=MONT,"21000 BRINK CT, GAITHERSBURG MD 20882"
